OBS.      X1          X2
 489    -78.8791     40.7342
 490    -79.2970     40.6795
 491    -78.4511     40.2420
 492    -80.3757     41.1796
 493    -82.4395     42.6385
 494    -82.5165     43.0761
 495    -88.7911     46.6230
 496    -87.8315     46.6980
 497    -84.5202     45.0407
 498    -82.6255     43.6602
 499    -82.8688     44.5125
 500    -85.3388     45.7978
 501    -79.1891     42.7264

